cluster	Spannungsebene_Category	Spannungsebene_Category
588	Hochspannung	27
588	Mittelspannung	1
589	Mittelspannung	6
590	Mittelspannung	4
591	Hochspannung	12
591	Mittelspannung	8
592	Mittelspannung	4
593	Umspannebene Hochspannung/Mittelspannung	5
593	Mittelspannung	4
594	Hochspannung	8
595	Mittelspannung	5
595	Umspannebene Hochspannung/Mittelspannung	2
596	Umspannebene Hochspannung/Mittelspannung	15
596	Mittelspannung	2
597	Mittelspannung	9
597	Umspannebene Hochspannung/Mittelspannung	3
598	Umspannebene Hochspannung/Mittelspannung	9
598	Mittelspannung	2
599	Mittelspannung	6
600	Mittelspannung	8
600	Umspannebene Hochspannung/Mittelspannung	4
601	Mittelspannung	6
602	Mittelspannung	6
603	Hochspannung	6
604	Hochspannung	7
605	Mittelspannung	8
606	Höchstspannung	15
606	Hochspannung	5
606	Mittelspannung	5
607	Hochspannung	31
607	Mittelspannung	20
608	Umspannebene Hochspannung/Mittelspannung	6
609	Hochspannung	7
610	Hochspannung	9
610	Umspannebene Hochspannung/Mittelspannung	3
611	Hochspannung	16
611	Mittelspannung	1
612	Hochspannung	26
612	Mittelspannung	1
613	Umspannebene Hochspannung/Mittelspannung	6
614	Mittelspannung	7
614	Umspannebene Hochspannung/Mittelspannung	4
615	Mittelspannung	7
616	Umspannebene Hochspannung/Mittelspannung	4
617	Mittelspannung	7
618	Hochspannung	17
618	Mittelspannung	2
619	Mittelspannung	11
620	Hochspannung	5
621	Hochspannung	8
621	Umspannebene Hochspannung/Mittelspannung	5
622	Hochspannung	10
622	Mittelspannung	1
623	Mittelspannung	8
624	Höchstspannung	8
625	Hochspannung	8
625	Mittelspannung	5
625	Umspannebene Hochspannung/Mittelspannung	5
626	Höchstspannung	9
626	Hochspannung	6
626	Mittelspannung	3
627	Hochspannung	5
627	Mittelspannung	2
628	Mittelspannung	9
629	Höchstspannung	27
629	Umspannebene Hochspannung/Mittelspannung	24
629	Hochspannung	4
629	Mittelspannung	4
630	Höchstspannung	28
630	Mittelspannung	2
631	Hochspannung	17
631	Mittelspannung	7
632	Hochspannung	8
633	Umspannebene Höchstspannung/Hochspannung	16
633	Hochspannung	6
633	Mittelspannung	1
634	Mittelspannung	4
635	Hochspannung	7
636	Umspannebene Hochspannung/Mittelspannung	6
636	Mittelspannung	4
637	Mittelspannung	6
637	Hochspannung	3
638	Umspannebene Hochspannung/Mittelspannung	4
638	Mittelspannung	1
639	Hochspannung	13
640	Niederspannung	3
640	Mittelspannung	2
641	Niederspannung	6
641	Umspannebene Hochspannung/Mittelspannung	5
641	Mittelspannung	4
642	Mittelspannung	5
643	Hochspannung	10
643	Umspannebene Hochspannung/Mittelspannung	5
643	Mittelspannung	4
644	Höchstspannung	8
645	Hochspannung	14
646	Mittelspannung	8
646	Hochspannung	6
647	Umspannebene Hochspannung/Mittelspannung	6
648	Hochspannung	38
648	Mittelspannung	11
648	Umspannebene Hochspannung/Mittelspannung	4
649	Hochspannung	9
649	Umspannebene Höchstspannung/Hochspannung	5
649	Mittelspannung	1
650	Umspannebene Hochspannung/Mittelspannung	4
651	Hochspannung	6
651	Mittelspannung	3
652	Hochspannung	11
652	Mittelspannung	1
653	Umspannebene Hochspannung/Mittelspannung	5
654	Umspannebene Hochspannung/Mittelspannung	8
654	Hochspannung	6
655	Mittelspannung	4
656	Hochspannung	27
657	Mittelspannung	5
657	Hochspannung	1
658	Hochspannung	19
658	Mittelspannung	6
658	Umspannebene Hochspannung/Mittelspannung	5
659	Mittelspannung	7
660	Hochspannung	36
660	Mittelspannung	18
660	Umspannebene Hochspannung/Mittelspannung	3
661	Mittelspannung	13
662	Mittelspannung	5
663	Mittelspannung	12
664	Hochspannung	4
664	Mittelspannung	3
665	Hochspannung	14
665	Höchstspannung	9
665	Mittelspannung	9
666	Hochspannung	9
667	Hochspannung	5
667	Mittelspannung	4
668	Hochspannung	25
669	Mittelspannung	12
670	Hochspannung	28
670	Mittelspannung	17
671	Mittelspannung	5
671	Hochspannung	2
672	Mittelspannung	9
672	Hochspannung	8
